"Total_Transaction","Total_Quantity","Total_Revenue","CATEGORY","UN_TRANSACTION_DATE"
8,21,3278,"Clothing","1/1/2025"
1,4,1433,"Electronics","1/1/2025"
5,16,3648,"Grocery","1/1/2025"
6,20,5225,"Home","1/1/2025"
10,26,7693,"Sports","1/1/2025"
2,6,543,"Clothing","1/1/2026"
3,12,3060,"Electronics","1/1/2026"
7,20,4297,"Grocery","1/1/2026"
11,28,9430,"Home","1/1/2026"
2,6,2106,"Sports","1/1/2026"
3,11,1518,"Clothing","1/10/2025"
6,20,5154,"Electronics","1/10/2025"
3,8,2347,"Grocery","1/10/2025"
5,18,6391,"Home","1/10/2025"
4,13,3549,"Sports","1/10/2025"
1,4,402,"Clothing","1/10/2026"
2,7,1396,"Electronics","1/10/2026"
4,9,1823,"Grocery","1/10/2026"
6,17,4486,"Home","1/10/2026"
2,9,2834,"Sports","1/10/2026"
8,22,3921,"Clothing","1/11/2025"
4,8,1152,"Electronics","1/11/2025"
6,19,3775,"Grocery","1/11/2025"
10,26,5683,"Home","1/11/2025"
6,18,5160,"Sports","1/11/2025"
1,3,855,"Clothing","1/11/2026"
5,12,3711,"Electronics","1/11/2026"
3,10,2672,"Grocery","1/11/2026"
5,15,4145,"Home","1/11/2026"
4,12,1498,"Sports","1/11/2026"
5,19,3309,"Clothing","1/12/2025"
4,12,1674,"Electronics","1/12/2025"
8,24,5358,"Grocery","1/12/2025"
4,12,3576,"Home","1/12/2025"
5,15,2643,"Sports","1/12/2025"
3,11,2153,"Clothing","1/12/2026"
3,9,2209,"Electronics","1/12/2026"
2,10,3153,"Grocery","1/12/2026"
2,9,3676,"Home","1/12/2026"
3,6,2000,"Sports","1/12/2026"
7,19,3151,"Clothing","1/13/2025"
2,8,2025,"Electronics","1/13/2025"
5,14,3295,"Grocery","1/13/2025"
5,11,2798,"Home","1/13/2025"
8,30,9309,"Sports","1/13/2025"
4,10,973,"Clothing","1/13/2026"
2,9,1451,"Electronics","1/13/2026"
2,9,2360,"Grocery","1/13/2026"
2,8,1889,"Home","1/13/2026"
7,25,4567,"Sports","1/13/2026"
3,12,1674,"Clothing","1/14/2025"
5,17,2229,"Electronics","1/14/2025"
4,11,2680,"Grocery","1/14/2025"
7,23,5956,"Home","1/14/2025"
6,21,6111,"Sports","1/14/2025"
4,10,1976,"Clothing","1/14/2026"
1,3,764,"Electronics","1/14/2026"
1,4,1501,"Grocery","1/14/2026"
12,31,8789,"Home","1/14/2026"
4,14,1602,"Sports","1/14/2026"
4,12,2797,"Clothing","1/15/2025"
2,6,1405,"Electronics","1/15/2025"
4,13,2143,"Grocery","1/15/2025"
2,8,2811,"Home","1/15/2025"
7,24,7641,"Sports","1/15/2025"
5,12,2500,"Clothing","1/15/2026"
3,7,809,"Electronics","1/15/2026"
6,19,3885,"Grocery","1/15/2026"
3,10,2949,"Home","1/15/2026"
6,20,5441,"Sports","1/15/2026"
4,13,2006,"Clothing","1/16/2025"
4,13,2938,"Electronics","1/16/2025"
4,14,4309,"Grocery","1/16/2025"
6,15,4625,"Home","1/16/2025"
6,15,3705,"Sports","1/16/2025"
7,13,2383,"Clothing","1/16/2026"
3,5,1058,"Electronics","1/16/2026"
4,10,3299,"Grocery","1/16/2026"
3,6,1487,"Home","1/16/2026"
2,5,1541,"Sports","1/16/2026"
4,13,2250,"Clothing","1/17/2025"
1,5,2006,"Electronics","1/17/2025"
1,2,326,"Grocery","1/17/2025"
4,11,2343,"Home","1/17/2025"
8,21,2595,"Sports","1/17/2025"
3,6,1056,"Clothing","1/17/2026"
3,8,1794,"Electronics","1/17/2026"
5,11,2360,"Grocery","1/17/2026"
3,10,1943,"Home","1/17/2026"
2,6,1449,"Sports","1/17/2026"
6,14,1708,"Clothing","1/18/2025"
5,14,3547,"Electronics","1/18/2025"
8,20,6313,"Grocery","1/18/2025"
7,20,4337,"Home","1/18/2025"
8,30,6889,"Sports","1/18/2025"
5,17,2439,"Clothing","1/18/2026"
2,4,1625,"Electronics","1/18/2026"
5,14,3058,"Grocery","1/18/2026"
3,10,2095,"Home","1/18/2026"
4,4,860,"Sports","1/18/2026"
12,33,3720,"Clothing","1/19/2025"
5,13,4106,"Electronics","1/19/2025"
7,23,4771,"Grocery","1/19/2025"
15,47,11804,"Home","1/19/2025"
12,39,11227,"Sports","1/19/2025"
3,9,806,"Clothing","1/19/2026"
2,2,186,"Electronics","1/19/2026"
5,17,5344,"Grocery","1/19/2026"
8,30,6950,"Home","1/19/2026"
3,5,1435,"Sports","1/19/2026"
8,21,3253,"Clothing","1/2/2025"
2,5,489,"Electronics","1/2/2025"
1,5,88,"Grocery","1/2/2025"
4,9,1802,"Home","1/2/2025"
1,1,214,"Sports","1/2/2025"
4,17,3196,"Clothing","1/2/2026"
9,24,6187,"Electronics","1/2/2026"
2,3,888,"Grocery","1/2/2026"
3,11,1852,"Home","1/2/2026"
4,11,3244,"Sports","1/2/2026"
4,9,2028,"Clothing","1/20/2025"
1,3,434,"Electronics","1/20/2025"
4,11,3268,"Grocery","1/20/2025"
7,25,7289,"Home","1/20/2025"
7,19,6288,"Sports","1/20/2025"
2,5,568,"Clothing","1/20/2026"
1,5,1094,"Electronics","1/20/2026"
3,7,1294,"Grocery","1/20/2026"
12,30,7530,"Home","1/20/2026"
3,8,2538,"Sports","1/20/2026"
8,23,3629,"Clothing","1/21/2025"
5,16,2952,"Electronics","1/21/2025"
5,13,2883,"Grocery","1/21/2025"
9,33,9896,"Home","1/21/2025"
6,19,6112,"Sports","1/21/2025"
1,2,246,"Electronics","1/21/2026"
3,12,1735,"Grocery","1/21/2026"
5,14,3738,"Home","1/21/2026"
1,2,182,"Sports","1/21/2026"
8,18,3669,"Clothing","1/22/2025"
1,3,200,"Electronics","1/22/2025"
6,14,3226,"Grocery","1/22/2025"
6,20,6340,"Home","1/22/2025"
4,15,3704,"Sports","1/22/2025"
1,5,1524,"Clothing","1/22/2026"
3,8,1784,"Electronics","1/22/2026"
4,12,2930,"Grocery","1/22/2026"
3,10,1645,"Home","1/22/2026"
4,9,1964,"Sports","1/22/2026"
6,9,963,"Clothing","1/23/2025"
5,13,3125,"Electronics","1/23/2025"
5,16,4297,"Grocery","1/23/2025"
4,11,3889,"Home","1/23/2025"
6,20,3643,"Clothing","1/23/2026"
5,15,4771,"Electronics","1/23/2026"
2,6,1476,"Grocery","1/23/2026"
5,12,3001,"Home","1/23/2026"
5,17,2977,"Sports","1/23/2026"
4,11,2121,"Clothing","1/24/2025"
7,18,2917,"Electronics","1/24/2025"
1,4,1750,"Grocery","1/24/2025"
5,16,1216,"Home","1/24/2025"
1,3,953,"Sports","1/24/2025"
